nombre,nivel,tipo,escuela,clases,tiempo_de_lanzamiento,alcance,componentes,duracion,descripcion,stage,revision
Protección Contra el Bien y el Mal,1,Nivel 1,Abjuración,,Acción,Toque,"V, S","Concentración, hasta 1 hora","al menos 25 po, que se consume como parte del conjur

neo        Hasta que el conjuro termine, una criatura voluntaria

áfaga      a la que toques estará protegida contra aberraciones,

celestiales, elementales, feéricos, infernales o muertos

vela,      vivientes. La protección concede varios beneficios.

Las criaturas de esos tipos tendrán desventaja en las

n          tiradas de ataque contra el objetivo. El objetivo tampoco

puede ser poseído por las criaturas ni obtener los estados

de asustado o hechizado a causa de ellas. Si el objetivo

ya está asustado, hechizado o poseído por una criatura

,          de estos tipos, dicho objetivo tendrá ventaja en cualquier

ie         nueva tirada de salvación contra el efecto correspondiente.

PROTECCIÓN CONTRA ENERGÍA

ño         Abjuración de nivel 3 (clérigo, druida, explorador, hechicero,

mago)

Hasta que termine el conjuro, una criatura voluntaria

a la que toques tendrá resistencia a un tipo de daño de

tu elección: ácido, frío, fuego, relámpago o trueno.",pendiente,
Protección Contra Veneno,2,Nivel 2,Abjuración,clérigo; druida; explorador; paladín,1 hora,3 m,"V, S, M (por cada objetivo del conjuro,",Hasta que sea disipado,"l.

,

rea

Tocas a una criatura y pones fin al estado de envenenada

o          silo sufre. Hasta que termine el conjuro, el objetivo tiene

ventaja en las tiradas de salvación para evitar o poner fin

e elijas   al estado de envenenado y resistencia al daño de veneno.

ciones,

os

e en       PROYECCIÓN ASTRAL

ine        Nigromancia de nivel 9 (brujo, clérigo, mago)

ico

trar

un jacinto que valga al menos 1000 po y un lingote de

plata que valga al menos 100 po, que se consumen como

parte del conjuro)

los

Tú y hasta ocho criaturas voluntarias dentro del alcance

proyectáis vuestros cuerpos astrales al Plano Astral

(si ya estáis allí, el conjuro termina al instante). El cuerpo

material que deja atrás un objetivo queda en animación

suspendida; tiene el estado de inconsciente, no necesita

aladín)    aire ni comida y no envejece.

El cuerpo astral de un objetivo es semejante a su

cuerpo en casi todo y replica su perfil y sus posesiones.

lga        La diferencia principal es un cordón plateado que sale de

o)         entre los omóplatos de la forma astral y se desvanece a los

30 cm. Si el cordón se corta (algo que solo puede ocurrir

si un efecto así lo indica), el cuerpo y la forma astral del

objetivo mueren.

Una forma astral puede viajar a través del Plano Astral.

Si abandona el plano, el cuerpo y las posesiones del objetiv

viajan a través del cordón de plata, permitiéndole volver

a entrar en su cuerpo en el nuevo plano.

El daño y otros efectos que se le apliquen a una forma

astral no afectan al cuerpo del objetivo y viceversa.

Si los puntos de golpe del cuerpo del objetivo o de su

forma astral se reducen a O, el conjuro terminará para él.

El conjuro termina para todos los objetivos si empleas

una acción de magia para ponerle fin.

Cuando el conjuro termine para un'objetivo que no

esté muerto, reaparecerá en su cuerpo y concluirá su

animación suspendida.",pendiente,
Proyectar Imagen,7,Nivel 7,Ilusionismo,bardo; mago,Acción,750 km,"V, S, M (una estatuilla de ti que valga","Concentración, hasta 1 día","al menos 5 po)

Creas una copia ilusoria de ti que dura hasta que termine

el conjuro. La copia puede aparecer en cualquier lugar

dentro del alcance que hayas visto antes, sin importar

que haya obstáculos que se interpongan. La ilusión tiene

tu aspecto y suena como tú, pero es intangible. Si recibe

cualquier daño, desaparecerá y el conjuro terminará.

ARMADURA DE MAGO Y CON LOS DARDOS INFALIBLES

DE PROYECTIL MÁGICO

Puedes ver a través de sus ojos y oír con sus oídos como

o   si estuvieras en su espacio. Como acción de magia, puedes

hacer que se mueva hasta 18 m y que realice gestos, hable

y se comporte del modo que quieras. Imita tu gestualidad

a la perfección.

La interacción física con la imagen revela que es una

ilusión, ya que las cosas pueden atravesarla. Si una criatura

emplea una acción de estudiar para examinar la imagen,

puede determinar que es una ilusión si supera una prueba

de Inteligencia (Investigación) contra tu CD de salvación

de conjuros. Si la criatura descubre que la imagen es una

ilusión, no se dejará engañar por ella y los sonidos que

emita le sonarán huecos.",pendiente,
Proyectil Mágico,1,Nivel 1,Evocación,hechicero; mago,Acción,36 m,"V, S",Instantáneo,"Creas tres dardos brillantes de fuerza mágica y cada uno

de ellos golpea a una criatura de tu elección a la que puedas

ver dentro del alcance. Cada dardo inflige 144 +1 de daño de

fuerza al objetivo. Todos los dardos aciertan a la vez y puedes

dirigirlos para que acierten a una sola criatura o a varias.

Con un espacio de conjuro de nivel superior. El conjuro

crea un dardo adicional por cada nivel por encima de 1 que

tenga el espacio.",pendiente,
Puerta Arcana,6,Nivel 6,Conjuración,brujo; hechicero; mago,Acción,150 m,"V, S","Concentración, hasta 10 minutos","Creas portales de teletransporte enlazados. Elige dos

espacios Grandes sin ocupar en el suelo que puedas ver,

uno dentro del alcance y el otro a 3 m o menos de ti.

Un portal circular se abre en cada uno de dichos espacios

y permanece hasta que el conjuro termine.

Los portales son anillos bidimensionales, brillantes

y cubiertos de una niebla que tapa la vista, y levitan

a pocos centímetros del suelo, perpendiculares a él.

Cada portal solo se abre por un lado (tú decides cuál).

Todo lo que entre por el lado abierto de un portal sale por

el lado abierto del otro como si estuvieran adyacentes

entre sí. Como acción adicional, puedes cambiar

la orientación de los lados abiertos.",pendiente,
Puerta Dimensional,4,Nivel 4,Conjuración,bardo; brujo; hechicero; mago,Acción,150 m,V,Instantáneo,"Te teletransportas a una ubicación dentro del alcance

y llegas exactamente al sitio deseado. Puede ser un lugar

que tengas a la vista, uno que logres visualizar o uno que

puedas describir indicando la distancia y la dirección,

como “60 m en línea recta hacia abajo” o “90 m hacia

arriba y hacia el noroeste en un ángulo de 45 grados”.

También puedes teletransportar contigo a una criatura

voluntaria. La criatura deberá estar a 1,5 m o menos de

ti cuando te teletransportes y aparecerá en un espacio

a 1,5 m o menos de tu espacio de destino.

Si la otra criatura, tú o las dos fuerais a llegar a un

espacio ya ocupado por una criatura o totalmente ocupado

por uno o más objetos, la criatura que viaje contigo y tú

sufriréis 4d6 de daño de fuerza y la teletransportación

fallará.",pendiente,
Purificar Comida y Bebida,1,Nivel 1,Transmutación,clérigo; druida; paladín,Acción o ritual,3 m,"V, S",Instantáneo,"Eliminas el veneno y la podredumbre de la comida

y bebida no mágicas en una esfera de 1,5 m de radio

centrada en un punto dentro del alcance.",pendiente,
Ráfaga de Viento,2,Nivel 2,Evocación,druida; explorador; hechicero; mago,Acción,Lanzador,"V, S, M (la semilla de una legumbre)","Concentración, hasta 1 minuto","De ti surge una ráfaga de viento fuerte en una línea

recta de 18 m de largo y 3 m de ancho en la dirección que

elijas hasta que termine el conjuro. Todas las criaturas

en esa línea deberán superar una tirada de salvación de

Fuerza o serán empujadas 4,5 m en la dirección de la

línea. Las criaturas que terminen su turno en ella también

deberán hacer la tirada de salvación.

Cualquier criatura que esté en la línea deberá gastar

2 m de movimiento por cada metro que se mueva para

acercarse a ti.

La ráfaga dispersa el gas o el vapor y apaga velas y otras

llamas desprotegidas de la zona. Hace que las llamas

protegidas, como las.de los faroles, se agiten salvajemente

y tienen un 50 % de probabilidad de apagarse.

Como acción adicional en tus siguientes turnos,

puedes cambiar la dirección en la que la línea surge de ti.",pendiente,
Ralentizar,3,Nivel 3,Transmutación,bardo; hechicero; mago,Acción,36 m,"V, S, M (una gota de melaza)","Concentración, hasta 1 minuto","Alteras el tiempo alrededor de hasta seis criaturas de tu

elección en un cubo de 12 m de lado dentro del alcance.

Cada objetivo deberá superar una tirada de salvación de

Sabiduría o se verá afectado hasta que termine el conjuro.

Un objetivo afectado ve cómo su velocidad se reduce a la

mitad, sufre un penalizador de -2 a la CA y a las tiradas de

salvación de Destreza y no puede llevar a cabo reacciones.

En sus turnos, puede realizar una acción o una acción

adicional, pero no ambas, y solo puede hacer un ataque

si emplea la acción de atacar. Si lanza un conjuro con un

componente somático, hay un 25 % de probabilidades

de que el conjuro falle porque el objetivo haga los gestos

demasiado despacio.

Un objetivo afectado repetirá la tirada de salvación al

final de cada uno de sus turnos y, si tiene éxito, se librará

del conjuro.",pendiente,
Rayo Abrasador,2,Nivel 2,Evocación,hechicero; mago,Acción,36 m,"V, S",Instantáneo,"Y ATRAPA A UN ZOMBI CON EL

RELÁMPAGO DE UN RAYO DE

HECHICERÍA.

Lanzas tres rayos ardientes y los arrojas contra uno

o varios objetivos dentro del alcance. Haz un ataque de

conjuro a distancia por cada rayo. Si acierta, el objetivo

recibe 2d6 de daño de fuego.

Con un espacio de conjuro de nivel superior. Creas un

rayo adicional por cada nivel por encima de 2 que tenga

el espacio.",pendiente,
Rayo de Escarcha,0,Truco,Evocación,hechicero; mago,Acción,18 m,"V, S",Instantáneo,"Lanzas un rayo helado de luz blanquiazul hacia una

criatura dentro del alcance. Haz un ataque de conjuro

a distancia contra el objetivo. Si acierta, el objetivo reci

1d8 de daño de frío y su velocidad se reduce en 3 m hasta

el principio de tu siguiente turno.

Mejora de truco. El daño aumenta en 1d8 cuando

alcanzas los niveles 5 (2d8), 11 (3d8) y 17 (4d8).",ok,
Rayo de Hechicería,1,Nivel 1,Evocación,brujo; hechicero; mago,Acción,18 m,"V, S, M (una ramita golpeada por un rayo)","Concentración, hasta 1 minuto","Un rayo de energía chisporroteante sale disparado hacia

una criatura dentro del alcance, formando un arco

constante similar a un relámpago entre el objetivo y tú.

Haz un ataque de conjuro a distancia contra él. Si acierta,

el objetivo sufre 2d12 de daño de relámpago.

En cada uno de tus siguientes turnos, puedes emplear

una acción adicional para causar 1d12 de daño de relámpago

al objetivo automáticamente, incluso si el primer ataque

falla.

El conjuro termina si en algún momento el objetivo

be   queda fuera del alcance del conjuro o si consigue tener

cobertura completa respecto a ti.

Con un espacio de conjuro de nivel superior. El daño

inicial aumenta en 1d12 por cada nivel por encima de 1 que

tenga el espacio.",pendiente,
Capítulo 7 Conjuros Rayo de Luna,2,Nivel 2,Evocación,druida,Acción,36 m,"V, S, M (una hoja con forma de media luna","Concentración, hasta 1 minuto","Un rayo de luz pálida y plateada brilla en un cilindro

1,5 m de radio y 12 m de alto centrado en un punto den

del alcance. Hasta que el conjuro termine, una luz ten

llena el cilindro y puedes emplear una acción de magia

en turnos posteriores para mover el cilindro hasta 18

Cuando el cilindro aparezca, todas las criaturas

que haya en él realizan una tirada de salvación de

Constitución. Si la fallan, recibirán 2d10 de daño rad

y si una criatura ha cambiado de forma (por ejemplo,

como resultado del conjuro polimorfar), volverá a su

forma real y no podrá cambiarla hasta que salga del

cilindro. Si la superan, solo sufrirán la mitad de ese

Una criatura también deberá hacer esta tirada cuando e

área del conjuro entre en su espacio o cuando la criat

entre en el área o acabe su turno en ella. Una criatur

solo hace esta tirada una vez por turno.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d10 por cada nivel por encima de 2 que ten

el espacio.",pendiente,
Rayo Debilitador,2,Nivel 2,Nigromancia,brujo; mago,Acción,18 m,"V, S","Concentración, hasta 1 minuto","Un haz de energía debilitadora surge de ti hacia una

criatura dentro del alcance. El objetivo deberá hacer

tirada de salvación de Constitución. Si la supera, ten

desventaja en la siguiente tirada de ataque que haga h

el principio de tu siguiente turno.

Si la falla, tendrá desventaja en las pruebas con d

basadas en la Fuerza hasta que termine el conjuro.

Durante ese tiempo, también restará 1d8 a todas las

tiradas de daño que haga. El objetivo repetirá la tira

de salvación al final de cada uno de sus turnos y, si

éxito, se librará del conjuro.",pendiente,
Rayo Nauseabundo,1,Nivel 1,Nigromancia,hechicero; mago,Acción,18 m,"V, S",Instantáneo,"Disparas un rayo verduzco hacia una criatura dentro

del alcance. Haz un ataque de conjuro a distancia cont

el objetivo. Si acierta, el objetivo sufrirá 2d8 de da

veneno y tendrá el estado de envenenado hasta el final

de tu siguiente turno.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d8 por cada nivel por encima de 1 que tenga

el espacio.",pendiente,
Rayo Solar ),6,Nivel 6,Evocación,clérigo; druida; hechicero; mago,"Acción de      Alcance: Lanzador tro      Componentes: V, S, M (una lupa) ue       Duración: Concentración, hasta 1 minuto m.       Lanzas un rayo solar en una línea de 1,5 m de ancho y 18 m de largo. Todas las criaturas situadas en esa línea harán una tirada de salvación de Constitución. Si la fallan, iante,   recibirán 6d8 de daño radiante y tendrán el estado de cegadas hasta el principio de tu siguiente turno. Si la superan, recibirán solo la mitad de daño.",,,,"Hasta que el conjuro termine, puedes emplear una

daño.   acción de magia para crear una nueva línea de luz

l        radiante.             SS

ura        Hasta que termine el conjuro, por encima de ti brillará

a        una mota radiante que emite luz brillante en un radio

de 9 m y luz tenue 9 m más allá. Esta luz es luz solar.

ga",pendiente,
